sku,ean,price_before,price_after,stock,collectionhours,shopify_sku,vendor,match_status,shopify_price,current_220_price,price_raised,stock_source
000053-0017-XS,4751043571381,20.0,20.0,6,24,000053-0017-XS,Outfish,MATCH_EXPLICIT_220_MAPPING,20.0,10.0,True,STORE
000053-0017-S,4751043571404,20.0,20.0,0,24,000053-0017-S,Outfish,MATCH_EXPLICIT_220_MAPPING,20.0,10.0,True,NONE
000055-0004-OneSize,4751043572302,9.9,9.9,0,24,000055-0004,Outfish,MATCH_EXPLICIT_220_MAPPING,9.9,5.0,True,NONE
000055-0008-OneSize,4751043572326,9.9,9.9,3,24,000055-0008,Outfish,MATCH_EXPLICIT_220_MAPPING,9.9,5.0,True,STORE
000056-0004-XS,4751043572340,17.5,17.5,0,72,000056-0004-XS,Outfish,MATCH_EXPLICIT_220_MAPPING,17.5,17.5,False,NONE
000056-0004-S,4751043572364,17.5,17.5,0,72,000056-0004-S,Outfish,MATCH_EXPLICIT_220_MAPPING,17.5,17.5,False,NONE
000056-0004-M,4751043572388,17.5,17.5,0,72,000056-0004-M,Outfish,MATCH_EXPLICIT_220_MAPPING,17.5,17.5,False,NONE
000056-0004-L,4751043572401,17.5,17.5,0,72,000056-0004-L,Outfish,MATCH_EXPLICIT_220_MAPPING,17.5,17.5,False,NONE
000056-0004-XL,4751043572425,17.5,17.5,0,72,000056-0004-XL,Outfish,MATCH_EXPLICIT_220_MAPPING,17.5,17.5,False,NONE
000056-0004-2XL,4751043572449,17.5,17.5,4,24,000056-0004-2XL,Outfish,MATCH_EXPLICIT_220_MAPPING,17.5,12.0,True,STORE
000056-0004-3XL,4751043572463,17.5,17.5,3,24,000056-0004-3XL,Outfish,MATCH_EXPLICIT_220_MAPPING,17.5,12.0,True,STORE
000056-0004-4XL,4751043572487,17.5,17.5,3,24,000056-0004-4XL,Outfish,MATCH_EXPLICIT_220_MAPPING,17.5,12.0,True,STORE
000056-0004-5XL,4751043572500,17.5,17.5,0,72,000056-0004-5XL,Outfish,MATCH_EXPLICIT_220_MAPPING,17.5,17.5,False,NONE
000056-0023-XS,4751043572524,12.0,12.0,3,24,000056-0023-XS,Outfish,MATCH_EXPLICIT_220_MAPPING,9.0,12.0,False,STORE
000056-0023-S,4751043572548,12.0,12.0,3,24,000056-0023-S,Outfish,MATCH_EXPLICIT_220_MAPPING,9.0,12.0,False,STORE
000056-0023-M,4751043572562,17.5,17.5,0,72,000056-0023-M,Outfish,MATCH_EXPLICIT_220_MAPPING,9.0,17.5,False,NONE
000056-0023-L,4751043572586,17.5,17.5,0,72,000056-0023-L,Outfish,MATCH_EXPLICIT_220_MAPPING,9.0,17.5,False,NONE
000056-0023-XL,4751043572609,17.5,17.5,0,72,000056-0023-XL,Outfish,MATCH_EXPLICIT_220_MAPPING,9.0,17.5,False,NONE
000056-0023-2XL,4751043572623,17.5,17.5,0,72,000056-0023-2XL,Outfish,MATCH_EXPLICIT_220_MAPPING,9.0,17.5,False,NONE
000056-0023-3XL,4751043572647,17.5,17.5,0,72,000056-0023-3XL,Outfish,MATCH_EXPLICIT_220_MAPPING,9.0,17.5,False,NONE
000056-0023-4XL,4751043572661,17.5,17.5,0,72,000056-0023-4XL,Outfish,MATCH_EXPLICIT_220_MAPPING,9.0,17.5,False,NONE
000056-0023-5XL,4751043572685,17.5,17.5,0,72,000056-0023-5XL,Outfish,MATCH_EXPLICIT_220_MAPPING,9.0,17.5,False,NONE
000057-0007-XS,4751043573064,19.9,19.9,3,24,000057-0007-XS,Outfish,MATCH_EXPLICIT_220_MAPPING,11.0,19.9,False,STORE
000057-0007-S,4751043573088,19.9,19.9,0,72,000057-0007-S,Outfish,MATCH_EXPLICIT_220_MAPPING,11.0,19.9,False,NONE
000057-0005-XS,4751043573248,19.9,19.9,3,24,000057-0005-XS,Outfish,MATCH_EXPLICIT_220_MAPPING,11.0,19.9,False,STORE
000058-0004-2XL,4751043573705,20.0,20.0,3,24,000058-0004-2XL,Outfish,MATCH_EXPLICIT_220_MAPPING,19.0,20.0,False,STORE
000059-0022-XS,4751043574146,12.5,12.5,3,24,000059-0022-XS,Outfish,MATCH_EXPLICIT_220_MAPPING,12.5,12.5,False,STORE
000059-0022-S,4751043574160,12.5,12.5,4,24,000059-0022-S,Outfish,MATCH_EXPLICIT_220_MAPPING,12.5,12.5,False,STORE
000059-0022-2XL,4751043574245,12.5,12.5,0,72,000059-0022-2XL,Outfish,MATCH_EXPLICIT_220_MAPPING,12.5,12.5,False,NONE
000059-0022-3XL,4751043574269,12.5,12.5,5,24,000059-0022-3XL,Outfish,MATCH_EXPLICIT_220_MAPPING,12.5,12.5,False,STORE
000060-0026-XS,4751043574320,14.5,14.5,5,24,000060-0026-XS,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,STORE
000060-0026-S,4751043574344,14.5,14.5,4,24,000060-0026-S,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,STORE
000060-0026-2XL,4751043574429,14.5,14.5,3,24,000060-0026-2XL,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,STORE
000060-0026-3XL,4751043574443,14.5,14.5,3,24,000060-0026-3XL,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,STORE
000060-0025-XS,4751043574504,14.5,14.5,4,24,000060-0025-XS,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,STORE
000060-0025-S,4751043574528,14.5,14.5,3,24,000060-0025-S,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,STORE
000060-0025-M,4751043574542,14.5,14.5,0,72,000060-0025-M,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,NONE
000060-0025-L,4751043574566,14.5,14.5,0,72,000060-0025-L,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,NONE
000060-0025-XL,4751043574580,14.5,14.5,0,72,000060-0025-XL,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,NONE
000060-0025-2XL,4751043574603,14.5,14.5,3,24,000060-0025-2XL,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,STORE
000060-0025-3XL,4751043574627,14.5,14.5,10,24,000060-0025-3XL,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,STORE
000060-0024-XS,4751043574689,14.5,14.5,6,24,000060-0024-XS,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,STORE
000060-0024-S,4751043574702,14.5,14.5,3,24,000060-0024-S,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,STORE
000060-0024-2XL,4751043574788,14.5,14.5,0,72,000060-0024-2XL,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,NONE
000060-0024-3XL,4751043574801,14.5,14.5,0,72,000060-0024-3XL,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,NONE
000060-0024-4XL,4751043574825,14.5,14.5,0,72,000060-0024-4XL,Outfish,MATCH_EXPLICIT_220_MAPPING,14.5,14.5,False,NONE
000061-0006-3XL,4751043574986,9.5,9.5,3,24,000061-0006-3XL,Outfish,MATCH_EXPLICIT_220_MAPPING,9.5,9.5,False,STORE
000061-0005-2XL,4751043575143,9.5,9.5,4,24,000061-0005-2XL,Outfish,MATCH_EXPLICIT_220_MAPPING,9.5,9.5,False,STORE
000061-0005-3XL,4751043575167,9.5,9.5,3,24,000061-0005-3XL,Outfish,MATCH_EXPLICIT_220_MAPPING,9.5,9.5,False,STORE
000064-0005-XS,4751043576126,15.5,15.5,3,24,000064-0005-XS,Outfish,MATCH_EXPLICIT_220_MAPPING,15.5,15.5,False,STORE
000064-0005-S,4751043576140,15.5,15.5,0,72,000064-0005-S,Outfish,MATCH_EXPLICIT_220_MAPPING,15.5,15.5,False,NONE
000064-0005-M,4751043576164,15.5,15.5,3,24,000064-0005-M,Outfish,MATCH_EXPLICIT_220_MAPPING,15.5,15.5,False,STORE
000064-0005-L,4751043576188,15.5,15.5,0,72,000064-0005-L,Outfish,MATCH_EXPLICIT_220_MAPPING,15.5,15.5,False,NONE
000064-0005-XL,4751043576201,15.5,15.5,0,72,000064-0005-XL,Outfish,MATCH_EXPLICIT_220_MAPPING,15.5,15.5,False,NONE
000064-0005-2XL,4751043576225,15.5,15.5,0,72,000064-0005-2XL,Outfish,MATCH_EXPLICIT_220_MAPPING,15.5,15.5,False,NONE
000064-0005-3XL,4751043576249,15.5,15.5,0,72,000064-0005-3XL,Outfish,MATCH_EXPLICIT_220_MAPPING,15.5,15.5,False,NONE
000064-0005-4XL,4751043576263,15.5,15.5,0,72,000064-0005-4XL,Outfish,MATCH_EXPLICIT_220_MAPPING,15.5,15.5,False,NONE
000064-0005-5XL,4751043576287,15.5,15.5,0,72,000064-0005-5XL,Outfish,MATCH_EXPLICIT_220_MAPPING,15.5,15.5,False,NONE
000064-0006-XS,4751043576300,19.0,19.0,3,24,000064-0006-XS,Outfish,MATCH_EXPLICIT_220_MAPPING,19.0,15.5,True,STORE
000064-0006-S,4751043576324,19.0,19.0,0,72,000064-0006-S,Outfish,MATCH_EXPLICIT_220_MAPPING,19.0,15.5,True,NONE
000064-0006-M,4751043576348,19.0,19.0,3,24,000064-0006-M,Outfish,MATCH_EXPLICIT_220_MAPPING,19.0,15.5,True,STORE
000064-0006-L,4751043576362,19.0,19.0,0,72,000064-0006-L,Outfish,MATCH_EXPLICIT_220_MAPPING,19.0,15.5,True,NONE
000064-0006-XL,4751043576386,19.0,19.0,0,72,000064-0006-XL,Outfish,MATCH_EXPLICIT_220_MAPPING,19.0,15.5,True,NONE
000064-0006-2XL,4751043576409,19.0,19.0,7,24,000064-0006-2XL,Outfish,MATCH_EXPLICIT_220_MAPPING,19.0,15.5,True,STORE
000064-0006-3XL,4751043576423,19.0,19.0,3,24,000064-0006-3XL,Outfish,MATCH_EXPLICIT_220_MAPPING,19.0,15.5,True,STORE
