row,vendor,title,shopify_sku,220_sku,220_ean,shopify_variant_id,phh_offer_id,phh_status,phh_amount,shopify_inventory,proposed_amount,delta,state
"304","Outfish","Fishing Shirt FHM Mark EVO UPF 50+ Sun Protection Print Blue","000053-0017-XS","000053-0017-XS","4751043571381","gid://shopify/ProductVariant/46930124112210","1138081","active","9","6","6","-3","READY_STOCK_UPDATE"
"306","Outfish","Tactical Shirt FHM Mark EVO UV Protection Orange/Grey Camouflage","000131-0030-XS","000131-0030-XS","4751043570334","gid://shopify/ProductVariant/46930198757714","26527123","active","14","13","13","-1","READY_STOCK_UPDATE"
"309","Outfish","Tactical Jersey Mark EVO UPF 50+ protection Green Camouflage","000131-0037-XS","000131-0037-XS","4751043570495","gid://shopify/ProductVariant/46930221334866","26527043","active","5","14","14","9","READY_STOCK_UPDATE"
"310","Outfish","Tactical Jersey Mark EVO UPF 50+ protection Green Camouflage","000131-0037-S","000131-0037-S","4751043570518","gid://shopify/ProductVariant/46930221367634","26527048","active","5","15","15","10","READY_STOCK_UPDATE"
"407","Outfish","Waders Outfish Ripple in Nightgreen Color","5OUTF001XL","5OUTF001XL","4751043570243","gid://shopify/ProductVariant/49424350642514","377677628","active","0","1","1","1","READY_STOCK_UPDATE"
"408","Outfish","Waders Outfish Ripple in Nightgreen Color","5OUTF0012XL","5OUTF0012XL","4751043570244","gid://shopify/ProductVariant/49424350675282","377677637","active","0","-1","","-1","BLOCKED_NEGATIVE_SHOPIFY_INVENTORY"
"473","Outfish","Hoodie Wave No logo Light Grey","000056-0004-2XL","000056-0004-2XL","4751043572449","gid://shopify/ProductVariant/46940642476370","1145631","active","5","4","4","-1","READY_STOCK_UPDATE"
"507","Outfish","Backpack FHM Urbanite blue","000088-0006","000088-0006","4751043570870","gid://shopify/ProductVariant/46941324443986","1667321","active","20","25","25","5","READY_STOCK_UPDATE"
"508","Outfish","Zipped Hoodie Wave Blue","000057-0007-XS","000057-0007-XS","4751043573064","gid://shopify/ProductVariant/46944644989266","1145796","active","2","1","1","-1","READY_STOCK_UPDATE"
"510","Outfish","Zipped Hoodie Wave Grey","000057-0005-XS","000057-0005-XS","4751043573248","gid://shopify/ProductVariant/46944652755282","1150871","active","2","1","1","-1","READY_STOCK_UPDATE"
"512","Outfish","Zipped Hoodie Wave V2 Black","000122-0002-XS","000122-0002-XS","4751043576483","gid://shopify/ProductVariant/46944804831570","29540238","active","5","4","4","-1","READY_STOCK_UPDATE"
