master_row,csv_line,vendor,title,sku,ean,phh_offer_id,phh_amount,csv_stock_before,production_stock_target,delta_vs_phh,resolve_reason,main,lowa,fjord
"304","2","Outfish","Fishing Shirt FHM Mark EVO UPF 50+ Sun Protection Print Blue","000053-0017-XS","4751043571381","1138081","9","9","6","-3","OK","6","0","0"
"306","372","Outfish","Tactical Shirt FHM Mark EVO UV Protection Orange/Grey Camouflage","000131-0030-XS","4751043570334","26527123","14","14","13","-1","OK","13","0","0"
"309","356","Outfish","Tactical Jersey Mark EVO UPF 50+ protection Green Camouflage","000131-0037-XS","4751043570495","26527043","5","5","14","9","OK","14","0","0"
"310","357","Outfish","Tactical Jersey Mark EVO UPF 50+ protection Green Camouflage","000131-0037-S","4751043570518","26527048","5","5","15","10","OK","15","0","0"
"407","1160","Outfish","Waders Outfish Ripple in Nightgreen Color","5OUTF001XL","4751043570243","377677628","0","0","1","1","OK","1","0","0"
"473","11","Outfish","Hoodie Wave No logo Light Grey","000056-0004-2XL","4751043572449","1145631","5","5","4","-1","OK","4","0","0"
"507","148","Outfish","Backpack FHM Urbanite blue","000088-0006","4751043570870","1667321","20","20","25","5","OK","25","0","0"
"508","34","Outfish","Zipped Hoodie Wave Blue","000057-0007-XS","4751043573064","1145796","2","2","1","-1","OK","1","0","0"
"510","36","Outfish","Zipped Hoodie Wave Grey","000057-0005-XS","4751043573248","1150871","2","2","1","-1","OK","1","0","0"
"512","432","Outfish","Zipped Hoodie Wave V2 Black","000122-0002-XS","4751043576483","29540238","5","5","4","-1","OK","4","0","0"
"514","440","Outfish","Zipped Hoodie Wave V2 Khaki","000122-0022-XS","4751043576322","29540318","4","4","3","-1","OK","3","0","0"
"515","441","Outfish","Zipped Hoodie Wave V2 Khaki","000122-0022-S","4751043576346","29540328","5","5","3","-2","OK","3","0","0"
"516","447","Outfish","Zipped Hoodie Wave V2 Khaki","000122-0022-4XL","4751043576469","29540388","0","0","1","1","OK","1","0","0"
"517","43","Outfish","Longsleeve Wave Khaki","000059-0022-XS","4751043574146","1309561","9","9","2","-7","OK","2","0","0"
"518","44","Outfish","Longsleeve Wave Khaki","000059-0022-S","4751043574160","1309786","2","2","4","2","OK","4","0","0"
"522","47","Outfish","Longsleeve Wave Khaki","000059-0022-3XL","4751043574269","1309611","9","9","5","-4","OK","5","0","0"
"557","38","Outfish","Sweatshirt Wave TH 100% Cotton Raglan Cut Light Grey","000058-0004-2XL","4751043573705","1309636","5","5","2","-3","OK","2","0","0"
